beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Saku Originaal","Saku Õlletehas","Lager - Pale",4.7,15,,"lomakeskus sieravuori",,,Suomi,60.9917,22.2313,2.25,"2019-06-29 22:39:38",https://untappd.com/c/770109506,https://untappd.com/beer/59424,https://untappd.com/brewery/1094,Estonia,Saku,Harjumaa,,,Can,770109506,59424,1094,,2.68,2.7,"Ville Lehtinen",0,0
Névé,"Sori Brewing","Stout - Imperial / Double",9.2,49,,"lomakeskus sieravuori",,,Suomi,60.9917,22.2313,4,"2019-06-29 22:55:12",https://untappd.com/c/770127321,https://untappd.com/beer/2956287,https://untappd.com/brewery/58973,Estonia,Tallinn,Harjumaa,,,Bottle,770127321,2956287,58973,https://untappd.s3.amazonaws.com/photos/2019_06_29/21567bdaacff6957db18b816cd4f3d6c_raw.jpg,3.87,3.85,"Ville Lehtinen",0,0
"California Sun","Thornbridge Brewery","IPA - Session / India Session Ale",4.5,0,"Raikas, tuttua tb laatua","Vanttila / Fantsby",Espoo,Uusimaa,Suomi,60.1859,24.6118,3.5,"2019-07-02 22:58:36",https://untappd.com/c/771440797,https://untappd.com/beer/2639293,https://untappd.com/brewery/2047,England,Bakewell,Derbyshire,,,Can,771440797,2639293,2047,https://untappd.s3.amazonaws.com/photos/2019_07_02/465721ffa7fddc9aa43916b2806d773c_raw.jpg,3.39,3.4,,0,0
"Green Mountain","Thornbridge Brewery","IPA - Session / India Session Ale",4.3,0,,"Vanttila / Fantsby",Espoo,Uusimaa,Suomi,60.1859,24.6118,3.5,"2019-07-02 23:45:55",https://untappd.com/c/771460748,https://untappd.com/beer/2507885,https://untappd.com/brewery/2047,England,Bakewell,Derbyshire,,,Can,771460748,2507885,2047,https://untappd.s3.amazonaws.com/photos/2019_07_02/49d13668c306b3c1edfa16a2dfd5357f_raw.jpg,3.66,3.66,,0,0
"Florida Weisse","Thornbridge Brewery","Sour - Fruited Berliner Weisse",4.5,0,,"Vanttila / Fantsby",Espoo,Uusimaa,Suomi,60.1859,24.6118,3.75,"2019-07-03 19:02:52",https://untappd.com/c/771679555,https://untappd.com/beer/2743306,https://untappd.com/brewery/2047,England,Bakewell,Derbyshire,,,Can,771679555,2743306,2047,https://untappd.s3.amazonaws.com/photos/2019_07_03/60644703ed0bcff155ca934d130e4d42_raw.jpg,3.52,3.52,,0,0
"Citra Zebra","Uiltje Brewing Company","IPA - New England",6,0,,"Craft Beer Helsinki 2019",Helsinki,Uusimaa,Suomi,60.1712,24.9449,3.75,"2019-07-04 16:18:40",https://untappd.com/c/772108774,https://untappd.com/beer/2775774,https://untappd.com/brewery/32280,Netherlands,Haarlem,Noord-Holland,,"Craft Beer Helsinki 2019",Can,772108774,2775774,32280,https://untappd.s3.amazonaws.com/photos/2019_07_04/a606bd7dd490c19021013427e8e4671c_raw.jpg,3.81,3.8,,0,0
"ShakeOut D: Watermelon","Sori Brewing","IPA - Imperial / Double Milkshake",8.3,0,"Hiukan ehkä liian makea","Craft Beer Helsinki 2019",Helsinki,Uusimaa,Suomi,60.1712,24.9449,3.5,"2019-07-04 16:21:03",https://untappd.com/c/772109061,https://untappd.com/beer/3050801,https://untappd.com/brewery/58973,Estonia,Tallinn,Harjumaa,,"Craft Beer Helsinki 2019",Draft,772109061,3050801,58973,https://untappd.s3.amazonaws.com/photos/2019_07_04/cd4361ccbacf6e275bf1e072f76d76c3_raw.jpg,3.63,3.64,,0,0
"Grunion IPA","Ballast Point Brewing Company","IPA - American",5.5,50,,"Craft Beer Helsinki 2019",Helsinki,Uusimaa,Suomi,60.1712,24.9449,3.75,"2019-07-04 16:30:43",https://untappd.com/c/772110300,https://untappd.com/beer/2967937,https://untappd.com/brewery/68,"United States","San Diego",CA,,"Craft Beer Helsinki 2019",Draft,772110300,2967937,68,https://untappd.s3.amazonaws.com/photos/2019_07_04/d0eb310475fa9f011566e756dc099be7_raw.jpg,3.42,3.42,,0,0
"Nelson Sauvin Brut Mango Passion",Mikkeller,"Bière de Champagne / Bière Brut",9,0,,"Craft Beer Helsinki 2019",Helsinki,Uusimaa,Suomi,60.1712,24.9449,3.75,"2019-07-04 16:36:57",https://untappd.com/c/772111166,https://untappd.com/beer/3110066,https://untappd.com/brewery/2813,Denmark,Copenhagen,"Region Hovedstaden",,"Craft Beer Helsinki 2019",Draft,772111166,3110066,2813,https://untappd.s3.amazonaws.com/photos/2019_07_04/d14162a166f46ef7829a39bc7ba26e08_raw.jpg,3.8,3.79,,0,0
"ALOHA Passionfruit Cheesecake Ale",Jacobstads,"IPA - American",5.1,75,,"Craft Beer Helsinki 2019",Helsinki,Uusimaa,Suomi,60.1712,24.9449,3.25,"2019-07-04 16:49:43",https://untappd.com/c/772112917,https://untappd.com/beer/3296702,https://untappd.com/brewery/76905,Finland,Nykarleby,Länsi-Suomi,,"Craft Beer Helsinki 2019",Draft,772112917,3296702,76905,https://untappd.s3.amazonaws.com/photos/2019_07_04/c0d28c15b041a446544f3652ba0be840_raw.jpg,3.16,3.5,,0,0
